nombre,apellidos,correo,aerolinea,origen,"destino final",escalas,equipaje,asiento,fecha,precio_final,pago
Yule,"Bineham Montfort",ymontfort18@odnoklassniki.ru,Easyfly,EZE,VVI,"sin escalas",basico+carry_on+grande,Aleatorio,2022-12-08,589,"tarjeta de credito"
Malynda,"Gallety Trump",mtrump7@live.com,Easyfly,EZE,GRU,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-12-08,878,"tarjeta debito"
Bentley,"Allden Bushrod",bbushrody@woothemes.com,GOL,GRU,SCL,"3 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-06,597,paypal
Manda,"Crumbie Paudin",mpaudinq@imdb.com,"SKY Airline",GRU,UIO,"2 escalas",posterior+mano,Posterior,2022-12-06,652,"tarjeta debito"
Lauren,"Westnedge L'Hommeau",llhommeaub@rambler.ru,Easyfly,GRU,VVI,"sin escalas",basico+carry_on,Aleatorio,2022-12-06,587,"tarjeta de credito"
Stanford,"Fateley Wogdon",swogdonm@abc.net.au,LATAM,GRU,SCL,"sin escalas",basico+carry_on,Aleatorio,2022-12-06,740,"tarjeta de credito"
Malynda,"Gallety Trump",mtrump7@live.com,Easyfly,GRU,LIM,"sin escalas",posterior+mano,Posterior,2022-12-06,756,"tarjeta de credito"
Haze,"Bedells Flaune",hflaune1h@japanpost.jp,GOL,BOG,SCL,"2 escalas",basico+carry_on+grande,Aleatorio,2022-12-06,626,"tarjeta de credito"
Anderea,"Dawes Primarolo",aprimarolol@weibo.com,LATAM,BOG,BOG,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-06,671,paypal
Margery,"Frammingham Kosel",mkosel6@skype.com,JetSmart,BOG,GRU,"2 escalas",posterior+mano,Posterior,2022-12-06,690,"tarjeta debito"
Mariana,"Hoyos Saavedra",marianita@gmail.com,"SKY Airline",BOG,SCL,"1 escala",basico+carry_on+grande,Aleatorio,2022-12-06,696,"tarjeta debito"
Francklyn,"McEvilly Jantzen",fjantzenn@mysql.com,JetSmart,LIM,LIM,"3 escalas",posterior+mano,Posterior,2022-12-06,826,"tarjeta debito"
Haze,"Bedells Flaune",hflaune1h@japanpost.jp,LATAM,LIM,VVI,"3 escalas",posterior+mano,Posterior,2022-12-06,701,"tarjeta de credito"
Channa,"Durban Whyard",cwhyard1e@timesonline.co.uk,Easyfly,LIM,VVI,"3 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-06,611,"tarjeta de credito"
Steffane,"Nuemann Stoltz",sstoltz1k@patch.com,JetSmart,LIM,LIM,"2 escalas",posterior+mano,Posterior,2022-12-06,725,"tarjeta de credito"
Bethany,"Brixey Basford",bbasford0@nyu.edu,GOL,LIM,LIM,"2 escalas",basico,Aleatorio,2022-12-06,640,"tarjeta de credito"
Niel,"Scotter Rohlf",nrohlf1g@elegantthemes.com,LATAM,LIM,VVI,"1 escala",basico+carry_on+grande,Aleatorio,2022-12-06,784,"tarjeta de credito"
Cullan,"Mauger Ubsdell",cubsdell2@omniture.com,JetSmart,LIM,BOG,"sin escalas",posterior+mano,Posterior,2022-12-06,562,"tarjeta de credito"
Lois,"Blaxley Maleney",lmaleney1j@wordpress.com,"SKY Airline",SCL,UIO,"3 escalas",basico+carry_on+grande,Aleatorio,2022-12-06,651,"tarjeta de credito"
Mart,"Scruby Orrocks",morrockse@ameblo.jp,Easyfly,SCL,VVI,"2 escalas",basico+carry_on+grande,Aleatorio,2022-12-06,696,"tarjeta debito"
Nessie,"Minshall Flounders",nflounders1d@indiatimes.com,"SKY Airline",SCL,VVI,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-12-06,619,"tarjeta de credito"
Bentley,"Allden Bushrod",bbushrody@woothemes.com,GOL,SCL,GRU,"1 escala",posterior+mano,Posterior,2022-12-06,739,paypal
Camila,"Alvarez Cueva",camila_24@hotmail.com,LATAM,VVI,LIM,"3 escalas",posterior+mano,Posterior,2022-12-06,801,"tarjeta de credito"
Hershel,"Rosewall Murrish",hmurrish1@shop-pro.jp,GOL,VVI,VVI,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-06,501,"tarjeta de credito"
Stanford,"Fateley Wogdon",swogdonm@abc.net.au,"SKY Airline",VVI,LIM,"1 escala",basico+carry_on,Aleatorio,2022-12-06,583,"tarjeta de credito"
Josiah,"Buckam Bedder",jbedderg@php.net,"SKY Airline",VVI,GRU,"1 escala",posterior+mano,Posterior,2022-12-06,609,"tarjeta debito"
Margery,"Frammingham Kosel",mkosel6@skype.com,GOL,UIO,GRU,"3 escalas",posterior+mano,Posterior,2022-12-06,594,"tarjeta de credito"
Radcliffe,"Millar Bearward",rbearwardw@mashable.com,LATAM,UIO,SCL,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-06,912,"tarjeta de credito"
Hortensia,"Breache Isham",hisham1m@t.co,LATAM,UIO,BOG,"sin escalas",basico+carry_on,Aleatorio,2022-12-06,852,"tarjeta de credito"
Dimitri,"Guille Arter",darteri@europa.eu,LATAM,EZE,LIM,"3 escalas",basico+carry_on+grande,Aleatorio,2022-12-06,602,paypal
Tully,"Mishaw Scargill",tscargill1a@tinyurl.com,Easyfly,EZE,SCL,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-06,958,"tarjeta debito"
Keelia,"Bellworthy Mushart",kmushart15@digg.com,Easyfly,EZE,GRU,"2 escalas",basico+carry_on,Aleatorio,2022-12-06,629,"tarjeta debito"
Fernanda,"Masias Rosinelli",f.masias@hotmail.com,Easyfly,EZE,SCL,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-06,895,"tarjeta de credito"
Cherin,"Flowers Nussey",cnussey5@blogspot.com,GOL,EZE,BOG,"1 escala",basico,Aleatorio,2022-12-06,541,"tarjeta debito"
Stanford,"Fateley Wogdon",swogdonm@abc.net.au,GOL,EZE,LIM,"1 escala",basico+carry_on+grande,Aleatorio,2022-12-06,766,"tarjeta de credito"
Olive,"Dallimare Chugg",ochugg12@prweb.com,GOL,EZE,BOG,"1 escala",posterior+mano,Posterior,2022-12-06,535,"tarjeta debito"
Keelia,"Bellworthy Mushart",kmushart15@digg.com,Easyfly,EZE,VVI,"sin escalas",posterior+mano,Posterior,2022-12-06,541,"tarjeta de credito"
Dimitri,"Guille Arter",darteri@europa.eu,GOL,EZE,SCL,"sin escalas",basico+carry_on+grande,Aleatorio,2022-12-06,805,paypal
Bel,"Spalding Mantram",bmantram13@i2i.jp,"SKY Airline",EZE,VVI,"sin escalas",basico+carry_on+grande,Aleatorio,2022-12-06,712,"tarjeta debito"
Ardelis,"Joost Jelf",ajelf8@prlog.org,Easyfly,GRU,LIM,"3 escalas",posterior+mano,Posterior,2022-12-05,630,"tarjeta debito"
Sterne,"Yakushkev Mossbee",smossbee1b@ovh.net,LATAM,GRU,VVI,"3 escalas",basico+carry_on,Aleatorio,2022-12-05,638,"tarjeta de credito"
Tully,"Mishaw Scargill",tscargill1a@tinyurl.com,Easyfly,GRU,EZE,"3 escalas",basico+carry_on+grande,Aleatorio,2022-12-05,652,"tarjeta debito"
Rorie,"Bowdon Wibberley",rwibberleyv@reverbnation.com,LATAM,GRU,GRU,"2 escalas",posterior+mano,Posterior,2022-12-05,799,"tarjeta de credito"
Daphene,"Neylon Pauwel",dpauweld@smugmug.com,LATAM,GRU,UIO,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-05,716,"tarjeta de credito"
Channa,"Durban Whyard",cwhyard1e@timesonline.co.uk,GOL,GRU,GRU,"2 escalas",basico+carry_on,Aleatorio,2022-12-05,626,"tarjeta debito"
Cherin,"Flowers Nussey",cnussey5@blogspot.com,"SKY Airline",GRU,GRU,"1 escala",basico+carry_on,Aleatorio,2022-12-05,615,paypal
Francklyn,"McEvilly Jantzen",fjantzenn@mysql.com,JetSmart,GRU,SCL,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-12-05,865,"tarjeta debito"
Cullan,"Mauger Ubsdell",cubsdell2@omniture.com,"SKY Airline",GRU,VVI,"sin escalas",basico+carry_on,Aleatorio,2022-12-05,752,paypal
Olive,"Dallimare Chugg",ochugg12@prweb.com,GOL,BOG,VVI,"3 escalas",basico+carry_on,Aleatorio,2022-12-05,741,"tarjeta de credito"
Elizabet,"Hackwell Hyatt",ehyatt14@diigo.com,Easyfly,BOG,VVI,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-05,928,paypal
Trefor,"Stucksbury Gorgen",tgorgen1f@tinyurl.com,GOL,BOG,LIM,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-12-05,712,paypal
Lois,"Blaxley Maleney",lmaleney1j@wordpress.com,GOL,BOG,UIO,"sin escalas",posterior+mano,Posterior,2022-12-05,726,"tarjeta de credito"
Alphonse,"Dowyer De Angelis",adeangelis1i@sfgate.com,LATAM,LIM,BOG,"3 escalas",basico,Aleatorio,2022-12-05,716,"tarjeta de credito"
Godfry,"Lyle Strathe",gstrathe16@amazon.com,LATAM,LIM,LIM,"1 escala",posterior+mano,Posterior,2022-12-05,802,"tarjeta de credito"
Francisca,"Carles Oda",foda10@uiuc.edu,Easyfly,LIM,BOG,"sin escalas",basico+carry_on+grande,Aleatorio,2022-12-05,521,paypal
Josiah,"Buckam Bedder",jbedderg@php.net,Easyfly,SCL,VVI,"2 escalas",basico+carry_on+grande,Aleatorio,2022-12-05,684,"tarjeta debito"
Karly,"Renac Gormally",kgormally1n@mapquest.com,LATAM,SCL,SCL,"2 escalas",basico,Aleatorio,2022-12-05,596,"tarjeta debito"
Yule,"Bineham Montfort",ymontfort18@odnoklassniki.ru,"SKY Airline",SCL,UIO,"sin escalas",basico+carry_on+grande,Aleatorio,2022-12-05,557,paypal
Felipe,"Guerrero Perez",guerrero.265@hotmail.com,Easyfly,SCL,UIO,"sin escalas",basico,Aleatorio,2022-12-05,571,"tarjeta de credito"
Brnaba,"Beckinsale Marchant",bmarchant4@altervista.org,Easyfly,SCL,BOG,"sin escalas",basico,Aleatorio,2022-12-05,666,"tarjeta de credito"
Stanford,"Fateley Wogdon",swogdonm@abc.net.au,JetSmart,VVI,GRU,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-12-05,596,"tarjeta debito"
Stanford,"Fateley Wogdon",swogdonm@abc.net.au,Easyfly,VVI,GRU,"sin escalas",basico+carry_on+grande,Aleatorio,2022-12-05,887,"tarjeta de credito"
Hershel,"Rosewall Murrish",hmurrish1@shop-pro.jp,LATAM,VVI,SCL,"sin escalas",basico+carry_on+grande,Aleatorio,2022-12-05,937,"tarjeta de credito"
Cullan,"Mauger Ubsdell",cubsdell2@omniture.com,JetSmart,VVI,GRU,"sin escalas",basico+carry_on+grande,Aleatorio,2022-12-05,824,"tarjeta de credito"
Fernando,"Martinez Rodriguez",f.martinez@hotmail.com,"SKY Airline",VVI,GRU,"sin escalas",basico,Aleatorio,2022-12-05,769,"tarjeta debito"
Haze,"Bedells Flaune",hflaune1h@japanpost.jp,Easyfly,VVI,GRU,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-12-05,649,"tarjeta de credito"
Dena,"Lamy Duffer",dduffer9@typepad.com,LATAM,UIO,BOG,"3 escalas",basico+carry_on,Aleatorio,2022-12-05,794,"tarjeta de credito"
Niel,"Scotter Rohlf",nrohlf1g@elegantthemes.com,GOL,UIO,EZE,"2 escalas",basico,Aleatorio,2022-12-05,661,paypal
Haze,"Bedells Flaune",hflaune1h@japanpost.jp,GOL,UIO,LIM,"2 escalas",basico,Aleatorio,2022-12-05,808,"tarjeta debito"
Andres,"Quintero Roca",andres_69@gmail.com,GOL,UIO,VVI,"1 escala",posterior+mano,Posterior,2022-12-05,606,"tarjeta debito"
Brnaba,"Beckinsale Marchant",bmarchant4@altervista.org,GOL,UIO,LIM,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-12-05,629,"tarjeta de credito"
Olive,"Dallimare Chugg",ochugg12@prweb.com,GOL,EZE,EZE,"3 escalas",basico+carry_on+extragrande,Aleatorio,2022-12-05,834,"tarjeta debito"
Hershel,"Rosewall Murrish",hmurrish1@shop-pro.jp,"SKY Airline",EZE,GRU,"2 escalas",posterior+mano,Posterior,2022-12-05,807,"tarjeta debito"
Rowen,"Beauchamp Farquhar",rfarquhars@usnews.com,GOL,EZE,GRU,"1 escala",posterior+mano,Posterior,2022-12-05,656,"tarjeta de credito"
Ardelis,"Joost Jelf",ajelf8@prlog.org,GOL,EZE,EZE,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-12-05,929,"tarjeta de credito"
Francklyn,"McEvilly Jantzen",fjantzenn@mysql.com,GOL,EZE,GRU,"1 escala",basico+carry_on,Aleatorio,2022-12-05,882,"tarjeta de credito"
Daniella,"Arrighetti Heard",dheardc@linkedin.com,"SKY Airline",EZE,UIO,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-12-05,777,"tarjeta de credito"
Karly,"Renac Gormally",kgormally1n@mapquest.com,GOL,GRU,LIM,"3 escalas",basico+carry_on+grande,Aleatorio,2022-11-28,805,"tarjeta de credito"
Rowen,"Beauchamp Farquhar",rfarquhars@usnews.com,Easyfly,GRU,VVI,"1 escala",basico+carry_on+grande,Aleatorio,2022-11-28,818,"tarjeta de credito"
Nessie,"Minshall Flounders",nflounders1d@indiatimes.com,JetSmart,GRU,LIM,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-11-28,629,paypal
Niel,"Scotter Rohlf",nrohlf1g@elegantthemes.com,GOL,BOG,SCL,"3 escalas",basico,Aleatorio,2022-11-28,801,paypal
Francisca,"Carles Oda",foda10@uiuc.edu,LATAM,BOG,VVI,"1 escala",posterior+mano,Posterior,2022-11-28,837,"tarjeta debito"
Gaelan,"Clemanceau Stilly",gstillyf@jugem.jp,GOL,BOG,LIM,"1 escala",basico+carry_on+grande,Aleatorio,2022-11-28,628,"tarjeta de credito"
Fernando,"Martinez Rodriguez",f.martinez@hotmail.com,"SKY Airline",LIM,LIM,"2 escalas",basico,Aleatorio,2022-11-28,653,paypal
Josiah,"Buckam Bedder",jbedderg@php.net,"SKY Airline",LIM,SCL,"2 escalas",basico+carry_on,Aleatorio,2022-11-28,753,paypal
Dedie,"Trahar McJury",dmcjuryu@umich.edu,LATAM,LIM,UIO,"1 escala",basico+carry_on,Aleatorio,2022-11-28,759,"tarjeta debito"
Fernando,"Martinez Rodriguez",f.martinez@hotmail.com,JetSmart,LIM,LIM,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-11-28,506,"tarjeta de credito"
Hortensia,"Breache Isham",hisham1m@t.co,GOL,SCL,SCL,"2 escalas",posterior+mano,Posterior,2022-11-28,798,"tarjeta de credito"
Cris,"Channer Deabill",cdeabillk@geocities.com,LATAM,SCL,BOG,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-11-28,542,"tarjeta de credito"
Emmey,"Pryell Tewkesbury",etewkesburyt@cornell.edu,"SKY Airline",SCL,VVI,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-11-28,542,"tarjeta de credito"
Lauren,"Westnedge L'Hommeau",llhommeaub@rambler.ru,Easyfly,SCL,SCL,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-11-28,526,"tarjeta de credito"
Rory,"Antoniottii Morforth",rmorforth17@sakura.ne.jp,LATAM,SCL,BOG,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-11-28,924,"tarjeta debito"
Tedman,"Eschelle Maliphant",tmaliphantp@cnn.com,JetSmart,VVI,VVI,"3 escalas",basico+carry_on,Aleatorio,2022-11-28,772,paypal
Tedman,"Eschelle Maliphant",tmaliphantp@cnn.com,GOL,VVI,LIM,"2 escalas",basico+carry_on,Aleatorio,2022-11-28,689,"tarjeta de credito"
Bel,"Spalding Mantram",bmantram13@i2i.jp,GOL,VVI,GRU,"1 escala",posterior+mano,Posterior,2022-11-28,574,paypal
Bentley,"Allden Bushrod",bbushrody@woothemes.com,LATAM,VVI,GRU,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-11-28,584,"tarjeta debito"
Andres,"Quintero Roca",andres_69@gmail.com,GOL,VVI,GRU,"1 escala",basico,Aleatorio,2022-11-28,619,"tarjeta de credito"
Niel,"Scotter Rohlf",nrohlf1g@elegantthemes.com,GOL,VVI,EZE,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-11-28,854,paypal
Bel,"Spalding Mantram",bmantram13@i2i.jp,GOL,VVI,LIM,"sin escalas",posterior+mano,Posterior,2022-11-28,579,"tarjeta debito"
Tully,"Mishaw Scargill",tscargill1a@tinyurl.com,LATAM,UIO,SCL,"3 escalas",basico+carry_on+grande,Aleatorio,2022-11-28,563,"tarjeta de credito"
Lois,"Blaxley Maleney",lmaleney1j@wordpress.com,Easyfly,UIO,UIO,"1 escala",basico+carry_on,Aleatorio,2022-11-28,821,"tarjeta de credito"
Felipe,"Guerrero Perez",guerrero.265@hotmail.com,GOL,UIO,GRU,"1 escala",basico,Aleatorio,2022-11-28,777,paypal
Francisca,"Carles Oda",foda10@uiuc.edu,Easyfly,UIO,VVI,"sin escalas",basico,Aleatorio,2022-11-28,672,paypal
Karly,"Renac Gormally",kgormally1n@mapquest.com,LATAM,UIO,UIO,"sin escalas",basico,Aleatorio,2022-11-28,530,paypal
Mauricio,"Quintero Diaz",q.m.1987@hotmail.com,"SKY Airline",EZE,UIO,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-11-28,543,"tarjeta de credito"
Sterne,"Yakushkev Mossbee",smossbee1b@ovh.net,"SKY Airline",EZE,EZE,"1 escala",basico+carry_on,Aleatorio,2022-11-28,650,"tarjeta debito"
Sterne,"Yakushkev Mossbee",smossbee1b@ovh.net,GOL,EZE,GRU,"sin escalas",basico+carry_on,Aleatorio,2022-11-28,654,"tarjeta de credito"
Hershel,"Rosewall Murrish",hmurrish1@shop-pro.jp,Easyfly,GRU,EZE,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-11-26,566,paypal
Dimitri,"Guille Arter",darteri@europa.eu,"SKY Airline",GRU,GRU,"2 escalas",basico,Aleatorio,2022-11-26,840,"tarjeta de credito"
Anderea,"Dawes Primarolo",aprimarolol@weibo.com,Easyfly,GRU,LIM,"1 escala",posterior+mano,Posterior,2022-11-26,765,"tarjeta de credito"
Paula,"Paulos Chirinos",m.paul.34@gmail.com,GOL,GRU,LIM,"sin escalas",basico+carry_on+grande,Aleatorio,2022-11-26,837,"tarjeta de credito"
Francisca,"Carles Oda",foda10@uiuc.edu,"SKY Airline",BOG,UIO,"3 escalas",basico+carry_on+grande,Aleatorio,2022-11-26,701,"tarjeta de credito"
Haze,"Bedells Flaune",hflaune1h@japanpost.jp,Easyfly,BOG,SCL,"3 escalas",basico+carry_on+extragrande,Aleatorio,2022-11-26,941,"tarjeta debito"
Elizabet,"Hackwell Hyatt",ehyatt14@diigo.com,"SKY Airline",BOG,UIO,"2 escalas",posterior+mano,Posterior,2022-11-26,652,"tarjeta de credito"
Felipe,"Guerrero Perez",guerrero.265@hotmail.com,"SKY Airline",BOG,EZE,"2 escalas",posterior+mano,Posterior,2022-11-26,534,"tarjeta de credito"
Emmey,"Pryell Tewkesbury",etewkesburyt@cornell.edu,"SKY Airline",BOG,SCL,"1 escala",basico+carry_on,Aleatorio,2022-11-26,734,"tarjeta debito"
Hallsy,"Lingley Scudamore",hscudamore1c@cbsnews.com,"SKY Airline",BOG,SCL,"1 escala",basico+carry_on+grande,Aleatorio,2022-11-26,682,"tarjeta debito"
Bethany,"Brixey Basford",bbasford0@nyu.edu,LATAM,LIM,VVI,"2 escalas",basico+carry_on+grande,Aleatorio,2022-11-26,840,"tarjeta debito"
Mauricio,"Quintero Diaz",q.m.1987@hotmail.com,GOL,LIM,UIO,"1 escala",basico+carry_on+grande,Aleatorio,2022-11-26,561,"tarjeta de credito"
Nessie,"Minshall Flounders",nflounders1d@indiatimes.com,JetSmart,LIM,GRU,"sin escalas",basico+carry_on+grande,Aleatorio,2022-11-26,747,"tarjeta de credito"
Niel,"Scotter Rohlf",nrohlf1g@elegantthemes.com,LATAM,LIM,UIO,"sin escalas",basico+carry_on+grande,Aleatorio,2022-11-26,675,"tarjeta de credito"
Timmy,"Seawell Doolan",tdoolan1l@youku.com,LATAM,SCL,UIO,"3 escalas",basico,Aleatorio,2022-11-26,575,"tarjeta de credito"
Tedman,"Eschelle Maliphant",tmaliphantp@cnn.com,GOL,SCL,VVI,"3 escalas",basico+carry_on+extragrande,Aleatorio,2022-11-26,757,"tarjeta de credito"
Nessie,"Minshall Flounders",nflounders1d@indiatimes.com,LATAM,SCL,VVI,"2 escalas",basico,Aleatorio,2022-11-26,812,paypal
Paula,"Paulos Chirinos",m.paul.34@gmail.com,"SKY Airline",SCL,LIM,"2 escalas",basico,Aleatorio,2022-11-26,784,"tarjeta de credito"
Cris,"Channer Deabill",cdeabillk@geocities.com,JetSmart,SCL,LIM,"1 escala",basico,Aleatorio,2022-11-26,525,"tarjeta de credito"
Godfry,"Lyle Strathe",gstrathe16@amazon.com,JetSmart,SCL,UIO,"1 escala",posterior+mano,Posterior,2022-11-26,829,"tarjeta de credito"
Dena,"Lamy Duffer",dduffer9@typepad.com,LATAM,SCL,UIO,"sin escalas",posterior+mano,Posterior,2022-11-26,552,"tarjeta de credito"
Niel,"Scotter Rohlf",nrohlf1g@elegantthemes.com,Easyfly,VVI,SCL,"2 escalas",basico+carry_on+grande,Aleatorio,2022-11-26,682,paypal
Hallsy,"Lingley Scudamore",hscudamore1c@cbsnews.com,LATAM,VVI,LIM,"1 escala",basico,Aleatorio,2022-11-26,746,"tarjeta de credito"
Francklyn,"McEvilly Jantzen",fjantzenn@mysql.com,GOL,VVI,BOG,"sin escalas",basico+carry_on,Aleatorio,2022-11-26,894,paypal
Luce,"Packman Largen",llargen11@jimdo.com,GOL,VVI,LIM,"sin escalas",basico,Aleatorio,2022-11-26,833,"tarjeta de credito"
Godfry,"Lyle Strathe",gstrathe16@amazon.com,Easyfly,UIO,EZE,"sin escalas",posterior+mano,Posterior,2022-11-26,813,"tarjeta de credito"
Concordia,"McWhirter Allderidge",callderidge19@canalblog.com,LATAM,UIO,LIM,"sin escalas",basico+carry_on+grande,Aleatorio,2022-11-26,563,"tarjeta de credito"
Bentley,"Allden Bushrod",bbushrody@woothemes.com,"SKY Airline",EZE,LIM,"3 escalas",basico+carry_on+extragrande,Aleatorio,2022-11-26,522,"tarjeta debito"
Timmy,"Seawell Doolan",tdoolan1l@youku.com,LATAM,EZE,UIO,"3 escalas",basico,Aleatorio,2022-11-26,785,"tarjeta de credito"
Felipe,"Guerrero Perez",guerrero.265@hotmail.com,Easyfly,EZE,VVI,"3 escalas",posterior+mano,Posterior,2022-11-26,578,"tarjeta debito"
Niel,"Scotter Rohlf",nrohlf1g@elegantthemes.com,GOL,EZE,LIM,"2 escalas",basico+carry_on,Aleatorio,2022-11-26,630,paypal
Francisca,"Carles Oda",foda10@uiuc.edu,"SKY Airline",EZE,SCL,"2 escalas",basico+carry_on+grande,Aleatorio,2022-11-26,560,"tarjeta de credito"
Hortensia,"Breache Isham",hisham1m@t.co,LATAM,EZE,BOG,"sin escalas",basico+carry_on+grande,Aleatorio,2022-11-26,949,"tarjeta de credito"
Dena,"Lamy Duffer",dduffer9@typepad.com,Easyfly,GRU,GRU,"3 escalas",basico+carry_on+grande,Aleatorio,2022-11-16,698,"tarjeta debito"
Elizabet,"Hackwell Hyatt",ehyatt14@diigo.com,LATAM,GRU,GRU,"3 escalas",posterior+mano,Posterior,2022-11-16,819,"tarjeta debito"
Daniella,"Arrighetti Heard",dheardc@linkedin.com,LATAM,GRU,VVI,"1 escala",basico,Aleatorio,2022-11-16,815,paypal
Rorie,"Bowdon Wibberley",rwibberleyv@reverbnation.com,GOL,GRU,GRU,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-11-16,584,"tarjeta de credito"
Bel,"Spalding Mantram",bmantram13@i2i.jp,Easyfly,BOG,VVI,"3 escalas",basico+carry_on+grande,Aleatorio,2022-11-16,853,"tarjeta debito"
Timmy,"Seawell Doolan",tdoolan1l@youku.com,GOL,BOG,GRU,"3 escalas",basico+carry_on+grande,Aleatorio,2022-11-16,848,paypal
Brnaba,"Beckinsale Marchant",bmarchant4@altervista.org,LATAM,BOG,BOG,"3 escalas",basico+carry_on+extragrande,Aleatorio,2022-11-16,933,"tarjeta debito"
Andres,"Quintero Roca",andres_69@gmail.com,LATAM,BOG,BOG,"sin escalas",basico+carry_on+extragrande,Aleatorio,2022-11-16,591,"tarjeta de credito"
Lois,"Blaxley Maleney",lmaleney1j@wordpress.com,GOL,BOG,BOG,"sin escalas",basico+carry_on+grande,Aleatorio,2022-11-16,526,"tarjeta de credito"
Camila,"Alvarez Cueva",camila_24@hotmail.com,LATAM,LIM,EZE,"3 escalas",posterior+mano,Posterior,2022-11-16,614,"tarjeta debito"
Francisca,"Carles Oda",foda10@uiuc.edu,GOL,LIM,LIM,"1 escala",basico+carry_on+extragrande,Aleatorio,2022-11-16,778,"tarjeta debito"
Rory,"Antoniottii Morforth",rmorforth17@sakura.ne.jp,LATAM,SCL,EZE,"2 escalas",basico,Aleatorio,2022-11-16,717,"tarjeta de credito"
Haze,"Bedells Flaune",hflaune1h@japanpost.jp,GOL,SCL,GRU,"sin escalas",basico+carry_on,Aleatorio,2022-11-16,541,paypal
Bentley,"Allden Bushrod",bbushrody@woothemes.com,LATAM,SCL,EZE,"sin escalas",basico+carry_on+grande,Aleatorio,2022-11-16,746,"tarjeta debito"
Rory,"Antoniottii Morforth",rmorforth17@sakura.ne.jp,Easyfly,VVI,VVI,"3 escalas",basico+carry_on+grande,Aleatorio,2022-11-16,763,"tarjeta debito"
Daniella,"Arrighetti Heard",dheardc@linkedin.com,LATAM,VVI,EZE,"3 escalas",basico,Aleatorio,2022-11-16,632,"tarjeta de credito"
Mariana,"Hoyos Saavedra",marianita@gmail.com,JetSmart,VVI,EZE,"2 escalas",posterior+mano,Posterior,2022-11-16,742,"tarjeta debito"
Yule,"Bineham Montfort",ymontfort18@odnoklassniki.ru,"SKY Airline",VVI,SCL,"2 escalas",posterior+mano,Posterior,2022-11-16,598,"tarjeta debito"
Malynda,"Gallety Trump",mtrump7@live.com,JetSmart,UIO,LIM,"3 escalas",basico+carry_on,Aleatorio,2022-11-16,534,"tarjeta de credito"
Bentley,"Allden Bushrod",bbushrody@woothemes.com,GOL,UIO,LIM,"2 escalas",basico+carry_on+grande,Aleatorio,2022-11-16,646,"tarjeta de credito"
Dedie,"Trahar McJury",dmcjuryu@umich.edu,JetSmart,UIO,SCL,"2 escalas",basico+carry_on+extragrande,Aleatorio,2022-11-16,791,"tarjeta de credito"
Gaelan,"Clemanceau Stilly",gstillyf@jugem.jp,JetSmart,UIO,LIM,"1 escala",basico,Aleatorio,2022-11-16,783,"tarjeta debito"
Bentley,"Allden Bushrod",bbushrody@woothemes.com,Easyfly,UIO,VVI,"1 escala",basico+carry_on,Aleatorio,2022-11-16,725,"tarjeta debito"
Jerry,"Duffitt Covill",jcovillh@etsy.com,"SKY Airline",UIO,BOG,"1 escala",basico,Aleatorio,2022-11-16,779,"tarjeta debito"
Niel,"Scotter Rohlf",nrohlf1g@elegantthemes.com,LATAM,EZE,GRU,"3 escalas",basico,Aleatorio,2022-11-16,828,"tarjeta de credito"
Yule,"Bineham Montfort",ymontfort18@odnoklassniki.ru,LATAM,EZE,GRU,"3 escalas",posterior+mano,Posterior,2022-11-16,558,"tarjeta de credito"
Daniella,"Arrighetti Heard",dheardc@linkedin.com,LATAM,EZE,BOG,"3 escalas",posterior+mano,Posterior,2022-11-16,509,paypal
Paula,"Paulos Chirinos",m.paul.34@gmail.com,LATAM,EZE,LIM,"2 escalas",basico,Aleatorio,2022-11-16,661,paypal
